id_plant;generation_2013_gwh;generation_2014_gwh;generation_2015_gwh;generation_2016_gwh;generation_2017_gwh;generation_2018_gwh;generation_2019_gwh
AUS0000143;1827.44;2739.31;1061.78;1389.87;403.40;1019.72;NULL
AUS0000144;346.28;456.66;241.88;169.83;413.99;426.44;NULL
AUS0000145;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000146;0.01;0.01;0.29;0.32;0.39;0.19;NULL
AUS0000147;38.22;66.63;207.27;109.24;41.74;31.63;NULL
AUS0000149;1408.21;2314.52;952.89;NULL;NULL;671.16;NULL
AUS0000150;23.20;13.74;20.24;86.93;66.17;35.92;NULL
AUS0000151;180.46;202.75;173.73;106.88;127.77;153.90;NULL
AUS0000152;1549.13;1631.37;2196.66;1264.10;649.75;424.42;NULL
AUS0000153;1003.63;1236.18;2602.98;1161.20;460.48;257.20;NULL
AUS0000154;573.16;617.92;765.10;723.58;960.79;849.46;NULL
AUS0000155;212.01;239.54;0.00;259.29;249.25;437.44;NULL
AUS0000156;2881.41;3322.81;4337.82;3674.55;3342.95;2245.31;NULL
AUS0000157;248.36;305.61;305.96;323.06;319.79;303.19;NULL
AUS0000158;6251.81;6837.61;6482.46;6900.34;6662.61;8974.85;NULL
AUS0000159;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000160;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUS0000161;471.59;597.91;448.39;295.07;487.80;450.42;NULL
AUS0000162;5696.32;5292.30;5731.49;4478.06;5924.06;5254.59;NULL
AUS0000163;7077.06;6668.92;6629.26;6653.69;6608.56;7061.38;NULL
